"id_day_all","x","y","id_month","POSIXct","behavior","species","id"
7,365243.27,7541030.18,"Mar",2015-03-15 07:05:00,"Sleeping site","NA","SS005"
7,365242.66,7541031.36,"Mar",2015-03-15 07:10:00,"Inactive","NA","SS005"
7,365249.9,7541038.4,"Mar",2015-03-15 07:15:00,"Inactive","NA","SS005"
7,365239.75,7541038.1,"Mar",2015-03-15 07:20:00,"Locomotion","NA","NA"
7,365250.07,7541069.26,"Mar",2015-03-15 07:25:00,"Inactive","NA","NA"
7,365236.2,7541065.33,"Mar",2015-03-15 07:30:00,"Foraging","NA","NA"
7,365223.34,7541065.72,"Mar",2015-03-15 07:35:00,"Inactive","NA","NA"
7,365204.71,7541068.46,"Mar",2015-03-15 07:40:00,"Resting","NA","NA"
7,365204.81,7541071.97,"Mar",2015-03-15 07:45:00,"Inactive","NA","NA"
7,365206.99,7541069.42,"Mar",2015-03-15 07:50:00,"Inactive","NA","NA"
7,365206.8,7541067.93,"Mar",2015-03-15 07:55:00,"Inactive","NA","NA"
7,365207.14,7541077.94,"Mar",2015-03-15 08:00:00,"Locomotion","NA","NA"
7,365190.4,7541099.9,"Mar",2015-03-15 08:05:00,"Inactive","NA","NA"
7,365155.05,7541102.14,"Mar",2015-03-15 08:10:00,"Locomotion","NA","NA"
7,365104.85,7541063.99,"Mar",2015-03-15 08:15:00,"Foraging","NA","NA"
7,365087.2,7541051.35,"Mar",2015-03-15 08:20:00,"Out of sight","NA","NA"
7,365083.66,7541038.37,"Mar",2015-03-15 08:25:00,"Locomotion","NA","NA"
7,365027.59,7540980.25,"Mar",2015-03-15 08:30:00,"Foraging","NA","SMaf001"
7,365027.59,7540980.25,"Mar",2015-03-15 08:35:00,"Frugivory","NA","SMaf001"
7,365027.59,7540980.25,"Mar",2015-03-15 08:40:00,"Inactive","NA","SMaf001"
7,365012,7540966.23,"Mar",2015-03-15 08:45:00,"Out of sight","NA","NA"
7,365004.41,7540953.48,"Mar",2015-03-15 08:50:00,"Inactive","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 08:55:00,"Frugivory","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 09:00:00,"Frugivory","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 09:05:00,"Frugivory","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 09:10:00,"Frugivory","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 09:15:00,"Frugivory","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 09:20:00,"Frugivory","NA","SMaf002"
7,365004.41,7540953.48,"Mar",2015-03-15 09:25:00,"Frugivory","NA","SMaf002"
7,364987.32,7540917.52,"Mar",2015-03-15 09:30:00,"Locomotion","NA","NA"
7,364991.48,7540906.82,"Mar",2015-03-15 09:35:00,"Locomotion","NA","NA"
7,364973.14,7540896.79,"Mar",2015-03-15 09:40:00,"Foraging","NA","NA"
7,364967.86,7540884.94,"Mar",2015-03-15 09:45:00,"Resting","NA","NA"
7,364968.2,7540890.71,"Mar",2015-03-15 09:50:00,"Resting","NA","NA"
7,364954.29,7540899.8,"Mar",2015-03-15 09:55:00,"Out of sight","NA","NA"
7,364946.31,7540898.13,"Mar",2015-03-15 10:00:00,"Inactive","NA","NA"
7,364929.53,7540917.55,"Mar",2015-03-15 10:05:00,"Inactive","NA","NA"
7,364899.01,7540909.18,"Mar",2015-03-15 10:10:00,"Out of sight","NA","NA"
7,364883.72,7540880.89,"Mar",2015-03-15 10:15:00,"Marking territory","NA","NA"
7,364877.24,7540876.21,"Mar",2015-03-15 10:20:00,"Inactive","NA","NA"
7,364870.52,7540868.06,"Mar",2015-03-15 10:25:00,"Resting","NA","NA"
7,364826.25,7540892.79,"Mar",2015-03-15 10:30:00,"Long call","NA","NA"
7,364818.26,7540897.72,"Mar",2015-03-15 10:35:00,"Out of sight","NA","NA"
7,364816.97,7540898.74,"Mar",2015-03-15 10:40:00,"Out of sight","NA","NA"
7,364816.08,7540899.58,"Mar",2015-03-15 10:45:00,"Locomotion","NA","NA"
7,364847.3,7540867.94,"Mar",2015-03-15 10:50:00,"Resting","NA","NA"
7,364878.72,7540860.65,"Mar",2015-03-15 10:55:00,"Inactive","NA","NA"
7,364890.77,7540866.25,"Mar",2015-03-15 11:00:00,"Locomotion","NA","NA"
7,364894.53,7540861.94,"Mar",2015-03-15 11:05:00,"Marking territory","NA","NA"
7,364897.29,7540833.58,"Mar",2015-03-15 11:10:00,"Long call","NA","NA"
7,364940.18,7540853.4,"Mar",2015-03-15 11:15:00,"Inactive","NA","NA"
7,364947.89,7540857.4,"Mar",2015-03-15 11:20:00,"Out of sight","NA","NA"
7,364981.06,7540846.74,"Mar",2015-03-15 11:25:00,"Locomotion","NA","NA"
7,364989.84,7540842.16,"Mar",2015-03-15 11:30:00,"Locomotion","NA","NA"
7,365027.52,7540810.08,"Mar",2015-03-15 11:35:00,"Locomotion","NA","NA"
7,365125.53,7540796.63,"Mar",2015-03-15 11:40:00,"Locomotion","NA","NA"
7,365172.53,7540773.63,"Mar",2015-03-15 11:45:00,"Locomotion","NA","NA"
7,365240.54,7540757.61,"Mar",2015-03-15 11:50:00,"Resting","NA","NA"
7,365262.8,7540750.22,"Mar",2015-03-15 11:55:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
7,365262.8,7540750.22,"Mar",2015-03-15 12:00:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
7,365262.8,7540750.22,"Mar",2015-03-15 12:05:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
7,365262.8,7540750.22,"Mar",2015-03-15 12:10:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
7,365268.43,7540745.08,"Mar",2015-03-15 12:15:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
7,365267.5,7540744.81,"Mar",2015-03-15 12:20:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365266.85,7540744.41,"Mar",2015-03-15 12:25:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365266.18,7540744.01,"Mar",2015-03-15 12:30:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365264.31,7540743.73,"Mar",2015-03-15 12:35:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365262.5,7540743.5,"Mar",2015-03-15 12:40:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365261.55,7540744.69,"Mar",2015-03-15 12:45:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365261.62,7540745.24,"Mar",2015-03-15 12:50:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365264.48,7540746.37,"Mar",2015-03-15 12:55:00,"Resting","Myrcia splendens (Sw.) DC.","AMf007"
7,365322,7540762.27,"Mar",2015-03-15 13:00:00,"Inactive","NA","NA"
7,365390.18,7540800.92,"Mar",2015-03-15 13:05:00,"Inactive","NA","NA"
7,365428.83,7540786.98,"Mar",2015-03-15 13:10:00,"Resting","NA","NA"
7,365425.67,7540790.47,"Mar",2015-03-15 13:15:00,"Resting","NA","NA"
7,365429.66,7540794.51,"Mar",2015-03-15 13:20:00,"Resting","NA","NA"
7,365430.96,7540797.12,"Mar",2015-03-15 13:25:00,"Resting","NA","NA"
7,365430.88,7540796.09,"Mar",2015-03-15 13:30:00,"Resting","NA","NA"
7,365430.49,7540796.44,"Mar",2015-03-15 13:35:00,"Resting","NA","NA"
7,365429.85,7540794.09,"Mar",2015-03-15 13:40:00,"Resting","NA","NA"
7,365430.97,7540795.05,"Mar",2015-03-15 13:45:00,"Resting","NA","NA"
7,365432.5,7540796.71,"Mar",2015-03-15 13:50:00,"Resting","NA","NA"
7,365494.5,7540845.92,"Mar",2015-03-15 13:55:00,"Resting","NA","NA"
7,365505.18,7540836.36,"Mar",2015-03-15 14:00:00,"Inactive","NA","NA"
7,365542.23,7540827.38,"Mar",2015-03-15 14:05:00,"Locomotion","NA","NA"
7,365544.11,7540839.72,"Mar",2015-03-15 14:10:00,"Locomotion","NA","NA"
7,365545.56,7540838.87,"Mar",2015-03-15 14:15:00,"Resting","NA","NA"
7,365546.99,7540837.96,"Mar",2015-03-15 14:20:00,"Resting","NA","NA"
7,365547.01,7540838.42,"Mar",2015-03-15 14:25:00,"Resting","NA","NA"
7,365547.01,7540838.89,"Mar",2015-03-15 14:30:00,"Resting","NA","NA"
7,365546.03,7540838.05,"Mar",2015-03-15 14:35:00,"Resting","NA","NA"
7,365543.83,7540839.1,"Mar",2015-03-15 14:40:00,"Resting","NA","NA"
7,365543.89,7540839.67,"Mar",2015-03-15 14:45:00,"Resting","NA","NA"
7,365544.27,7540837.9,"Mar",2015-03-15 14:50:00,"Resting","NA","NA"
7,365545.05,7540839.96,"Mar",2015-03-15 14:55:00,"Resting","NA","NA"
7,365544.75,7540838.87,"Mar",2015-03-15 15:00:00,"Resting","NA","NA"
7,365545.5,7540839.12,"Mar",2015-03-15 15:05:00,"Resting","NA","NA"
7,365545.31,7540839.3,"Mar",2015-03-15 15:10:00,"Resting","NA","NA"
7,365534.5,7540884.37,"Mar",2015-03-15 15:15:00,"NA","NA","NA"
7,365523.49,7540929.64,"Mar",2015-03-15 15:20:00,"NA","NA","NA"
7,365504.27,7540973.58,"Mar",2015-03-15 15:25:00,"Sleeping site","NA","SS006"
10,365242.75,7541027.58,"Mar",2015-03-18 06:35:00,"Sleeping site","NA","SS005"
10,365244.08,7541031.66,"Mar",2015-03-18 06:40:00,"Out of sight","NA","SS005"
10,365247.18,7541033.21,"Mar",2015-03-18 06:45:00,"Inactive","NA","SS005"
10,365241.02,7541040.17,"Mar",2015-03-18 06:50:00,"Inactive","NA","NA"
10,365243.34,7541000.57,"Mar",2015-03-18 06:55:00,"Long call","NA","NA"
10,365247.24,7540971.92,"Mar",2015-03-18 07:00:00,"Long call","NA","NA"
10,365237.17,7540964.93,"Mar",2015-03-18 07:05:00,"Locomotion","NA","NA"
10,365202.08,7540944.58,"Mar",2015-03-18 07:10:00,"Frugivory","inch_pass","AMf100"
10,365184.17,7540920.31,"Mar",2015-03-18 07:15:00,"Frugivory","inch_pass","AMf100"
10,365197.92,7540920.2,"Mar",2015-03-18 07:20:00,"Frugivory","inch_pass","AMf100"
10,365215.05,7540881.84,"Mar",2015-03-18 07:25:00,"Locomotion","NA","NA"
10,365234.22,7540846.28,"Mar",2015-03-18 07:30:00,"Foraging","NA","NA"
10,365255.23,7540778.51,"Mar",2015-03-18 07:35:00,"Locomotion","NA","NA"
10,365272.08,7540754.57,"Mar",2015-03-18 07:40:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365265.05,7540748.02,"Mar",2015-03-18 07:45:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365265.05,7540748.02,"Mar",2015-03-18 07:50:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365265.05,7540748.02,"Mar",2015-03-18 07:55:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365265.05,7540748.02,"Mar",2015-03-18 08:00:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365265.05,7540748.02,"Mar",2015-03-18 08:05:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365265.05,7540748.02,"Mar",2015-03-18 08:10:00,"Frugivory","Myrcia splendens (Sw.) DC.","AMf007"
10,365291.12,7540748.13,"Mar",2015-03-18 08:15:00,"Locomotion","NA","NA"
10,365321.52,7540726.58,"Mar",2015-03-18 08:20:00,"Foraging","NA","NA"
10,365325.1,7540724.4,"Mar",2015-03-18 08:25:00,"Foraging","NA","NA"
10,365321.83,7540724.93,"Mar",2015-03-18 08:30:00,"Out of sight","NA","NA"
10,365320.28,7540720.7,"Mar",2015-03-18 08:35:00,"Out of sight","NA","NA"
10,365330.84,7540718.75,"Mar",2015-03-18 08:40:00,"Foraging","NA","SMaf009"
10,365330.27,7540719.14,"Mar",2015-03-18 08:45:00,"Foraging","NA","SMaf009"
10,365330.27,7540719.14,"Mar",2015-03-18 08:50:00,"Frugivory","NA","SMaf009"
10,365350.3,7540720.07,"Mar",2015-03-18 08:55:00,"Foraging","NA","NA"
10,365358.28,7540695.78,"Mar",2015-03-18 09:00:00,"Locomotion","NA","NA"
10,365371.6,7540661.59,"Mar",2015-03-18 09:05:00,"Inactive","NA","NA"
10,365363.34,7540659.6,"Mar",2015-03-18 09:10:00,"Frugivory","NA","SMaf010"
10,365363.34,7540659.6,"Mar",2015-03-18 09:15:00,"Frugivory","NA","SMaf010"
10,365363.34,7540659.6,"Mar",2015-03-18 09:20:00,"Frugivory","NA","SMaf010"
10,365363.34,7540659.6,"Mar",2015-03-18 09:25:00,"Frugivory","NA","SMaf010"
10,365363.34,7540659.6,"Mar",2015-03-18 09:30:00,"Frugivory","NA","SMaf010"
10,365363.34,7540659.6,"Mar",2015-03-18 09:35:00,"Frugivory","NA","SMaf010"
10,365363.34,7540659.6,"Mar",2015-03-18 09:40:00,"Frugivory","NA","SMaf010"
10,365364.31,7540666.64,"Mar",2015-03-18 09:45:00,"Inactive","NA","SMaf010"
10,365357.37,7540715.5,"Mar",2015-03-18 09:50:00,"Resting","NA","NA"
10,365405.63,7540755.27,"Mar",2015-03-18 09:55:00,"Marking territory","NA","NA"
10,365435.02,7540782.4,"Mar",2015-03-18 10:00:00,"Foraging","NA","SMaf011"
10,365435.02,7540782.4,"Mar",2015-03-18 10:05:00,"Inactive","NA","SMaf011"
10,365435.02,7540782.4,"Mar",2015-03-18 10:10:00,"Out of sight","NA","SMaf011"
10,365435.02,7540782.4,"Mar",2015-03-18 10:15:00,"Frugivory","NA","SMaf011"
10,365435.02,7540782.4,"Mar",2015-03-18 10:20:00,"Frugivory","NA","SMaf011"
10,365435.02,7540782.4,"Mar",2015-03-18 10:25:00,"Frugivory","NA","SMaf011"
10,365491.4,7540800.08,"Mar",2015-03-18 10:30:00,"Locomotion","NA","NA"
10,365506.78,7540779.66,"Mar",2015-03-18 10:35:00,"Resting","NA","NA"
10,365559.13,7540778.87,"Mar",2015-03-18 10:40:00,"Marking territory","NA","NA"
10,365558.92,7540781.82,"Mar",2015-03-18 10:45:00,"Long call","NA","NA"
10,365554.68,7540796.58,"Mar",2015-03-18 10:50:00,"Out of sight","NA","NA"
10,365554.17,7540875.01,"Mar",2015-03-18 10:55:00,"Locomotion","NA","NA"
10,365551.54,7540887.28,"Mar",2015-03-18 11:00:00,"Frugivory","Celtis fluminensis","AMf132"
10,365541.12,7540898.36,"Mar",2015-03-18 11:05:00,"Frugivory","Celtis fluminensis","AMf132"
10,365537.22,7540890.7,"Mar",2015-03-18 11:10:00,"Frugivory","Celtis fluminensis","AMf132"
10,365534.66,7540901.37,"Mar",2015-03-18 11:15:00,"Frugivory","Celtis fluminensis","AMf132"
10,365530.77,7540892.94,"Mar",2015-03-18 11:20:00,"Frugivory","Celtis fluminensis","AMf132"
10,365546.06,7540930.42,"Mar",2015-03-18 11:25:00,"Marking territory","NA","NA"
10,365574.69,7540963.25,"Mar",2015-03-18 11:30:00,"Locomotion","NA","NA"
10,365594.48,7540997.73,"Mar",2015-03-18 11:35:00,"Inactive","NA","NA"
10,365600.71,7540995.26,"Mar",2015-03-18 11:40:00,"Resting","NA","NA"
10,365631.91,7540997.37,"Mar",2015-03-18 11:45:00,"Resting","NA","NA"
10,365646.68,7540980.36,"Mar",2015-03-18 11:50:00,"Out of sight","NA","NA"
10,365646.56,7540978.06,"Mar",2015-03-18 11:55:00,"Foraging","NA","NA"
10,365645.37,7540978.54,"Mar",2015-03-18 12:00:00,"Inactive","NA","NA"
10,365669.7,7540982.73,"Mar",2015-03-18 12:05:00,"Frugivory","NA","SMaf017"
10,365669.7,7540982.73,"Mar",2015-03-18 12:10:00,"Inactive","NA","SMaf017"
10,365664.51,7540996.78,"Mar",2015-03-18 12:15:00,"Locomotion","NA","SMaf018"
10,365664.51,7540996.78,"Mar",2015-03-18 12:20:00,"Frugivory","NA","SMaf018"
10,365664.51,7540996.78,"Mar",2015-03-18 12:25:00,"Frugivory","NA","SMaf018"
10,365664.51,7540996.78,"Mar",2015-03-18 12:30:00,"Frugivory","NA","SMaf018"
10,365660.16,7541023.65,"Mar",2015-03-18 12:35:00,"Foraging","NA","NA"
10,365653.73,7541021.28,"Mar",2015-03-18 12:40:00,"Locomotion","NA","NA"
10,365634.16,7541044.24,"Mar",2015-03-18 12:45:00,"Out of sight","NA","NA"
10,365634.48,7541044,"Mar",2015-03-18 12:50:00,"Out of sight","NA","NA"
10,365633.9,7541044.13,"Mar",2015-03-18 12:55:00,"Foraging","NA","NA"
10,365595.89,7541058.23,"Mar",2015-03-18 13:00:00,"Locomotion","NA","NA"
10,365596.01,7541083.78,"Mar",2015-03-18 13:05:00,"Foraging","NA","NA"
10,365589.5,7541103.42,"Mar",2015-03-18 13:10:00,"Resting","NA","NA"
10,365566.59,7541108.57,"Mar",2015-03-18 13:15:00,"Frugivory","NA","SMaf019"
10,365566.59,7541108.57,"Mar",2015-03-18 13:20:00,"Inactive","NA","SMaf019"
10,365522.24,7541114.97,"Mar",2015-03-18 13:25:00,"Locomotion","NA","NA"
10,365505.74,7541132.63,"Mar",2015-03-18 13:30:00,"Locomotion","NA","NA"
10,365458.74,7541148.13,"Mar",2015-03-18 13:35:00,"Frugivory","Celtis fluminensis","AMf030"
10,365458.74,7541148.13,"Mar",2015-03-18 13:40:00,"Frugivory","Celtis fluminensis","AMf030"
10,365458.74,7541148.13,"Mar",2015-03-18 13:45:00,"Frugivory","Celtis fluminensis","AMf030"
10,365454.78,7541158.93,"Mar",2015-03-18 13:50:00,"Frugivory","Celtis fluminensis","AMf030"
10,365443.83,7541188.98,"Mar",2015-03-18 13:55:00,"Marking territory","NA","NA"
10,365424.7,7541210.65,"Mar",2015-03-18 14:00:00,"Foraging","NA","NA"
10,365413.45,7541185.18,"Mar",2015-03-18 14:05:00,"Inactive","NA","NA"
10,365404.33,7541196.45,"Mar",2015-03-18 14:10:00,"Resting","NA","NA"
10,365405.76,7541198.06,"Mar",2015-03-18 14:15:00,"Resting","NA","NA"
10,365389.21,7541179.13,"Mar",2015-03-18 14:20:00,"Frugivory","NA","SMaf022"
10,365365,7541173.69,"Mar",2015-03-18 14:25:00,"Out of sight","NA","NA"
10,365365.07,7541171.3,"Mar",2015-03-18 14:30:00,"Inactive","NA","NA"
10,365354.9,7541152.44,"Mar",2015-03-18 14:35:00,"Resting","NA","NA"
10,365340.99,7541138.27,"Mar",2015-03-18 14:40:00,"Frugivory","NA","SMaf023"
10,365340.99,7541138.27,"Mar",2015-03-18 14:45:00,"Frugivory","NA","SMaf023"
10,365340.99,7541138.27,"Mar",2015-03-18 14:50:00,"Resting","NA","SMaf023"
10,365321.39,7541147.41,"Mar",2015-03-18 14:55:00,"Resting","NA","NA"
10,365284.67,7541170.13,"Mar",2015-03-18 15:00:00,"Locomotion","NA","NA"
10,365271.33,7541169.39,"Mar",2015-03-18 15:05:00,"Inactive","NA","NA"
10,365245.54,7541179.37,"Mar",2015-03-18 15:10:00,"Frugivory","NA","SMaf024"
10,365233.43,7541174,"Mar",2015-03-18 15:15:00,"Frugivory","NA","SMaf025"
10,365211.42,7541183.2,"Mar",2015-03-18 15:20:00,"Locomotion","NA","NA"
10,365162.15,7541187.46,"Mar",2015-03-18 15:25:00,"Inactive","NA","NA"
10,365139.02,7541187.99,"Mar",2015-03-18 15:30:00,"Frugivory","Celtis fluminensis","AMf022"
10,365126.9,7541193.82,"Mar",2015-03-18 15:35:00,"Out of sight","NA","NA"
10,365123.29,7541192.74,"Mar",2015-03-18 15:40:00,"Out of sight","NA","NA"
10,365087.5,7541176.91,"Mar",2015-03-18 15:45:00,"NA","NA","NA"
10,365051.29,7541160.85,"Mar",2015-03-18 15:50:00,"Inactive","NA","NA"
10,365005.64,7541112.33,"Mar",2015-03-18 15:55:00,"Frugivory","Celtis fluminensis","AMf236"
10,364997.31,7541106.82,"Mar",2015-03-18 16:00:00,"Frugivory","Celtis fluminensis","AMf236"
10,364997.31,7541106.82,"Mar",2015-03-18 16:05:00,"Frugivory","Celtis fluminensis","AMf236"
10,364988.82,7541102.07,"Mar",2015-03-18 16:10:00,"Inactive","NA","NA"
10,364990.75,7541093.04,"Mar",2015-03-18 16:15:00,"Frugivory","Celtis fluminensis","AMf236"
10,364957.04,7541087.8,"Mar",2015-03-18 16:20:00,"Out of sight","NA","NA"
10,364955.81,7541087.31,"Mar",2015-03-18 16:25:00,"Out of sight","NA","NA"
10,364952.48,7541029.97,"Mar",2015-03-18 16:30:00,"Inactive","NA","NA"
10,364894.43,7541008.22,"Mar",2015-03-18 16:35:00,"Inactive","NA","NA"
10,364879.52,7540990.58,"Mar",2015-03-18 16:40:00,"Resting","NA","NA"
10,364792.01,7541033.01,"Mar",2015-03-18 16:45:00,"Locomotion","NA","NA"
10,364746.51,7541015.09,"Mar",2015-03-18 16:50:00,"Frugivory","NA","SMaf030"
10,364740.2,7541024.68,"Mar",2015-03-18 16:55:00,"Inactive","NA","NA"
10,364690.29,7541026.84,"Mar",2015-03-18 17:00:00,"Locomotion","NA","NA"
10,364676.74,7540975.18,"Mar",2015-03-18 17:05:00,"Locomotion","NA","NA"
10,364668.16,7540906.38,"Mar",2015-03-18 17:10:00,"Locomotion","NA","NA"
10,364670.11,7540905.45,"Mar",2015-03-18 17:15:00,"Resting","NA","NA"
10,364719.23,7540880.14,"Mar",2015-03-18 17:20:00,"Out of sight","NA","NA"
10,364716.22,7540839.98,"Mar",2015-03-18 17:25:00,"Inactive","NA","NA"
