"group","id_month","time_wakeup_mean","time_sleep_mean","time_wakesleep_mean_diff","time_wakesleep_diff_minutes_mean","timesteps_wakesleep_diff_mean"
"Guareí","Aug",2022-11-18 07:20:00,2022-11-18 16:16:52,2022-11-18 08:56:52,537,107
"Guareí","Jul",2022-11-18 07:53:51,2022-11-18 16:41:59,2022-11-18 08:48:08,528,106
"Guareí","Jun",2022-11-18 07:10:00,2022-11-18 16:12:30,2022-11-18 09:02:30,542,108
"Guareí","May",2022-11-18 07:17:30,2022-11-18 16:31:15,2022-11-18 09:13:45,554,111
"Santa Maria","Apr",2022-11-18 07:23:45,2022-11-18 16:42:30,2022-11-18 09:18:45,559,112
"Santa Maria","Mar",2022-11-18 06:54:10,2022-11-18 16:31:40,2022-11-18 09:37:30,578,116
"Suzano","Dec",2022-11-18 07:38:20,2022-11-18 17:38:20,2022-11-18 10:00:00,600,120
"Suzano","Sep",2022-11-18 07:38:20,2022-11-18 17:11:40,2022-11-18 09:33:20,573,115
"Taquara","Jan",2022-11-18 07:09:10,2022-11-18 18:56:40,2022-11-18 11:47:30,708,142
