"id_feces","feed_x","feed_y","feed_datetime","species","id_feedtree","disp_event","SDD","def_x","def_y","def_datetime","gut_transit_time","n_seeds","month_id","gut_transit_time_hms","group"
"FM005","365164",7541202,2015-03-29 10:24:00,"Celtis fluminensis","AMf022","SDSma1",293.860511127303,"365429","7541329",2015-03-29 11:05:00,41,6,"Mar",00:41:00,"Santa Maria"
"FM006","365164",7541202,2015-03-29 10:24:00,"Celtis fluminensis","AMf022","SDSma2",293.860511127303,"365429","7541329",2015-03-29 11:17:00,53,3,"Mar",00:53:00,"Santa Maria"
"FM007","365450",7541162,2015-03-29 12:58:00,"Celtis fluminensis","AMf030","SDSma3",99.724620831568,"365519","7541090",2015-03-29 14:30:00,92,7,"Mar",01:32:00,"Santa Maria"
"FM008","365450",7541162,2015-03-29 12:58:00,"Celtis fluminensis","AMf030","SDSma4",166.207701385947,"365533","7541018",2015-03-29 15:55:00,177,7,"Mar",02:57:00,"Santa Maria"
"FM008","364825.99",7540754.59,2015-03-29 15:30:00,"Eugenia aff. ramboi","AMf011","SDSma5",754.485233917863,"365533","7541018",2015-03-29 15:55:00,25,3,"Mar",00:25:00,"Santa Maria"
"FM009","364825.99",7540754.59,2015-03-29 15:30:00,"Eugenia aff. ramboi","AMf011","SDSma6",691.605384739063,"365492","7540941",2015-03-30 08:30:00,1020,3,"Mar",17:00:00,"Santa Maria"
"FM010","364825.99",7540754.59,2015-03-29 15:30:00,"Eugenia aff. ramboi","AMf011","SDSma7",601.753777055062,"365423","7540830",2015-03-30 08:44:00,1034,3,"Mar",17:14:00,"Santa Maria"
"FM021","364899.34",7540878.8,2015-05-08 14:55:04,"Celtis fluminensis","AMf315","SDSma8",51.9908030327347,"364848.4","7540868.4000000004",2015-05-09 07:24:36,990,6,"May",16:30:00,"Santa Maria"
"FM027","365373.74",7541209.74,2015-05-09 14:09:20,"Celtis fluminensis","AMf327","SDSma9",26.8136103499588,"365346.93","7541210.1799999997",2015-05-09 14:27:58,19,2,"May",00:19:00,"Santa Maria"
"FM027","365483.11",7541268.92,2015-05-09 13:56:59,"Eugenia aff. ramboi","AMf326","SDSma10",148.308394907451,"365346.93","7541210.1799999997",2015-05-09 14:27:58,31,1,"May",00:31:00,"Santa Maria"
"FM029","365373.74",7541209.74,2015-05-09 14:09:20,"Celtis fluminensis","AMf327","SDSma11",291.60573879811,"365083.61","7541180.4400000004",2015-05-09 15:51:15,102,2,"May",01:42:00,"Santa Maria"
"FM030","364931.34",7541028.11,2015-05-09 16:22:00,"Eugenia aff. ramboi","AMf313","SDSma12",181.780622179604,"364789.95","7541142.3600000003",2015-05-09 16:45:00,23,26,"May",00:23:00,"Santa Maria"
"FM030","364983.53",7541132.08,2015-05-09 15:58:58,"Randia armata","AMf331","SDSma13",193.852765778597,"364789.95","7541142.3600000003",2015-05-09 16:45:00,46,4,"May",00:46:00,"Santa Maria"
"FM031","364801.29",7540988.01,2015-05-10 08:07:00,"Eugenia aff. ramboi","AMf332","SDSma14",154.766010803961,"364789.95","7541142.3600000003",2015-05-10 09:09:31,63,26,"May",01:03:00,"Santa Maria"
"FM031","364983.53",7541132.08,2015-05-09 15:58:58,"Randia armata","AMf331","SDSma15",193.852765778597,"364789.95","7541142.3600000003",2015-05-10 09:09:31,1031,4,"May",17:11:00,"Santa Maria"
"FM032","365075.79",7541321.54,2015-05-10 09:24:43,"Eugenia aff. ramboi","AMf335","SDSma16",319.971011187189,"364824.03","7541124.0599999996",2015-05-10 09:40:54,16,32,"May",00:16:00,"Santa Maria"
"FM032","364767.72",7540996.13,2015-05-10 08:32:00,"Celtis fluminensis","AMf188","SDSma17",139.774464763526,"364824.03","7541124.0599999996",2015-05-10 09:40:54,69,2,"May",01:09:00,"Santa Maria"
"FM033","364788.94",7541128.18,2015-05-10 08:05:25,"Eugenia sp.","AMf333","SDSma18",553.43945106944,"365264.48","7541411.2999999998",2015-05-10 11:28:28,203,54,"May",03:23:00,"Santa Maria"
"FM035","364767.72",7540996.13,2015-05-10 08:32:00,"Celtis fluminensis","AMf188","SDSma19",574.794763111184,"365342.51","7540993.79",2015-05-11 07:22:51,1371,2,"May",22:51:00,"Santa Maria"
"FM036","364767.72",7540996.13,2015-05-10 08:32:00,"Celtis fluminensis","AMf188","SDSma20",574.794763111184,"365342.51","7540993.79",2015-05-11 07:23:00,1371,2,"May",22:51:00,"Santa Maria"
"FM037","364767.72",7540996.13,2015-05-10 08:32:00,"Celtis fluminensis","AMf188","SDSma21",739.062502972593,"365504.20","7541057.86",2015-05-11 08:00:00,1408,4,"May",23:28:00,"Santa Maria"
"FM038","365530.43",7541029.07,2015-05-11 08:10:29,"Eugenia aff. ramboi","AMf343","SDSma22",89.9404475194355,"365471.23","7540961.3600000003",2015-05-11 09:48:44,98,3,"May",01:38:00,"Santa Maria"
"FM039","365487.64",7541102.55,2015-05-11 08:02:27,"Celtis fluminensis","AMf342","SDSma23",226.948611143293,"365390.04","7540897.6600000001",2015-05-11 09:59:59,118,2,"May",01:58:00,"Santa Maria"
"FM040","365487.64",7541102.55,2015-05-11 08:02:27,"Celtis fluminensis","AMf342","SDSma24",270.638646353287,"365467.39","7540832.6699999999",2015-05-11 11:50:41,228,42,"May",03:48:00,"Santa Maria"
"FM041","365468.00",7540834,2015-05-11 12:07:00,"Phoradendron quadrangulare","AMf348","SDSma25",136.842765610606,"365467.13","7540970.8399999999",2015-05-11 12:24:44,18,39,"May",00:18:00,"Santa Maria"
"FM041","365417.17",7540883.5,2015-05-11 12:08:33,"Celtis fluminensis","AMf350","SDSma26",100.619467301194,"365467.13","7540970.8399999999",2015-05-11 12:24:44,16,3,"May",00:16:00,"Santa Maria"
"FM042","365468.00",7540834,2015-05-11 12:07:00,"Phoradendron quadrangulare","AMf348","SDSma27",163.719492425703,"365425.81","7540992.1900000004",2015-05-11 12:28:58,22,75,"May",00:22:00,"Santa Maria"
"FM043","365468.00",7540834,2015-05-11 12:07:00,"Phoradendron quadrangulare","AMf348","SDSma28",164.947701105362,"365416.04","7540990.5499999998",2015-05-11 12:33:39,27,84,"May",00:27:00,"Santa Maria"
"FM052","365178",7541360,2015-06-26 13:27:49,"Randia armata","AMf380","SDSma29",120.917327128911,"365093","7541274",2015-06-26 14:59:38,92,2,"Jun",01:32:00,"Santa Maria"
"FM053","365178",7541360,2015-06-26 13:27:49,"Randia armata","AMf380","SDSma30",493.855241948488,"364865","7540978",2015-06-26 16:19:58,172,2,"Jun",02:52:00,"Santa Maria"
"FM054","364870",7540920,2015-06-26 16:34:38,"Eugenia aff. ramboi","AMf385","SDSma31",56.2938717801503,"364858","7540865",2015-06-27 07:49:46,915,10,"Jun",15:15:00,"Santa Maria"
"FM054","365016",7541249,2015-06-26 15:06:53,"Celtis fluminensis","AMf384","SDSma32",415.234873294621,"364858","7540865",2015-06-27 07:49:46,1003,6,"Jun",16:43:00,"Santa Maria"
"FM054","365178",7541360,2015-06-26 13:27:49,"Randia armata","AMf380","SDSma33",589.427688525064,"364858","7540865",2015-06-27 07:49:46,1102,5,"Jun",18:22:00,"Santa Maria"
"FM055","364870",7540920,2015-06-26 16:34:38,"Eugenia aff. ramboi","AMf385","SDSma34",56.2938717801503,"364858","7540865",2015-06-27 07:49:46,915,10,"Jun",15:15:00,"Santa Maria"
"FM055","365016",7541249,2015-06-26 15:06:53,"Celtis fluminensis","AMf384","SDSma35",415.234873294621,"364858","7540865",2015-06-27 07:49:46,1003,6,"Jun",16:43:00,"Santa Maria"
"FM055","365178",7541360,2015-06-26 13:27:49,"Randia armata","AMf380","SDSma36",589.427688525064,"364858","7540865",2015-06-27 07:49:46,1102,5,"Jun",18:22:00,"Santa Maria"
"FM056","365038",7540689,2015-06-27 08:57:43,"Eugenia aff. ramboi","AMf390","SDSma37",266.992509258219,"365237","7540867",2015-06-27 10:01:10,63,1,"Jun",01:03:00,"Santa Maria"
"FM058","365354",7541322,2015-06-27 12:25:04,"Randia armata","AMf405","SDSma38",141.364776376578,"365414","7541450",2015-06-27 14:22:20,117,3,"Jun",01:57:00,"Santa Maria"
"FM059","365354",7541322,2015-06-27 12:25:04,"Randia armata","AMf405","SDSma39",141.364776376578,"365414","7541450",2015-06-27 14:22:20,117,3,"Jun",01:57:00,"Santa Maria"
"FM074","365390",7540898,2015-06-28 16:11:21,"Celtis fluminensis","AMf509","SDSma40",110.440028975005,"365421","7540792",2015-06-29 08:38:42,987,2,"Jun",16:27:00,"Santa Maria"
"FM075","365390",7540898,2015-06-28 16:11:21,"Celtis fluminensis","AMf509","SDSma41",110.440028975005,"365421","7540792",2015-06-29 08:38:42,987,2,"Jun",16:27:00,"Santa Maria"
"FM100","365106",7540705,2015-08-25 14:36:45,"Eugenia cf. hiemalis","AMf601","SDSma42",77.1621668954417,"365183","7540700",2015-08-25 14:45:08,8,7,"Aug",00:08:00,"Santa Maria"
"FM101","365106",7540705,2015-08-25 14:36:45,"Eugenia cf. hiemalis","AMf601","SDSma43",188.063818955162,"365264","7540807",2015-08-25 15:15:29,39,4,"Aug",00:39:00,"Santa Maria"
"FM105","365317",7540842,2015-08-25 16:19:13,"Eugenia cf. hiemalis","AMf608","SDSma44",116.361505662311,"365423","7540794",2015-08-26 07:40:11,921,27,"Aug",15:21:00,"Santa Maria"
"FM106","365317",7540842,2015-08-25 16:19:13,"Eugenia cf. hiemalis","AMf608","SDSma45",116.361505662311,"365423","7540794",2015-08-26 07:40:11,921,27,"Aug",15:21:00,"Santa Maria"
"FM114","364980",7541229,2015-08-26 11:30:47,"Eugenia cf. hiemalis","AMf623","SDSma46",217.882996124067,"364788","7541126",2015-08-26 12:03:09,32,7,"Aug",00:32:00,"Santa Maria"
"FM117","364704",7541047,2015-08-26 12:31:28,"Eugenia cf. hiemalis","AMf629","SDSma47",35.7351367704113,"364693","7541013",2015-08-26 13:01:52,30,10,"Aug",00:30:00,"Santa Maria"
"FM118","364704",7541047,2015-08-26 12:31:28,"Eugenia cf. hiemalis","AMf629","SDSma48",50.60632371552,"364673","7541007",2015-08-26 13:05:57,34,3,"Aug",00:34:00,"Santa Maria"
"FM152","365090",7541376,2015-09-21 17:25:08,"Eugenia cf. hiemalis","AMf698","SDSma49",121.655250605964,"365034","7541268",2015-09-22 07:00:00,815,4,"Sep",13:35:00,"Santa Maria"
"FM156","364619",7540856,2015-09-23 07:19:34,"Ficus luschnathiana","AMf709","SDSma50",238.673417036753,"364666","7541090",2015-09-23 11:16:43,237,605,"Sep",03:57:00,"Santa Maria"
"FM157","364619",7540856,2015-09-23 07:19:34,"Ficus luschnathiana","AMf709","SDSma51",238.673417036753,"364666","7541090",2015-09-23 11:16:43,237,606,"Sep",03:57:00,"Santa Maria"
"FM161","364619",7540856,2015-09-23 17:18:00,"Ficus luschnathiana","AMf709","SDSma52",171.058469536004,"364729","7540725",2015-09-24 07:02:48,825,30,"Sep",13:45:00,"Santa Maria"
"FM162","364619",7540856,2015-09-23 17:18:00,"Ficus luschnathiana","AMf709","SDSma53",171.058469536004,"364729","7540725",2015-09-24 07:02:48,825,30,"Sep",13:45:00,"Santa Maria"
"FM164","364689",7541133,2015-09-24 14:08:49,"Eugenia cf. hiemalis","AMf711","SDSma54",271.459020848451,"364956","7541084",2015-09-24 16:01:09,112,1,"Sep",01:52:00,"Santa Maria"
"FM167","365424",7540915,2015-09-25 06:40:44,"Ficus luschnathiana","AMf713","SDSma55",132.098448136229,"365371","7540794",2015-09-25 07:53:49,73,900,"Sep",01:13:00,"Santa Maria"
"FM168","365424",7540915,2015-09-25 06:40:44,"Ficus luschnathiana","AMf713","SDSma56",290.688837074973,"365234","7540695",2015-09-25 08:20:22,100,600,"Sep",01:40:00,"Santa Maria"
"FM169","365424",7540915,2015-09-25 06:40:44,"Ficus luschnathiana","AMf713","SDSma57",63.6945837571767,"365400","7540856",2015-09-25 09:55:35,195,350,"Sep",03:15:00,"Santa Maria"
"FM170","365424",7540915,2015-09-25 06:40:44,"Ficus luschnathiana","AMf713","SDSma58",388.670811870405,"365388","7541302",2015-09-25 12:33:24,353,200,"Sep",05:53:00,"Santa Maria"
"FM171","365424",7540915,2015-09-25 06:40:44,"Ficus luschnathiana","AMf713","SDSma59",658.55371838598,"365397","7541573",2015-09-25 14:48:14,488,201,"Sep",08:08:00,"Santa Maria"
"FM171","365374",7541176,2015-09-25 12:11:58,"Trichilia catigua","AMf716","SDSma60",397.665688738669,"365397","7541573",2015-09-25 14:48:14,156,201,"Sep",02:36:00,"Santa Maria"
"FM178","365424",7540915,2015-09-29 13:10:00,"Ficus luschnathiana","AMf713","SDSma61",74.0607858451421,"365427","7540841",2015-09-29 15:57:07,167,1000,"Sep",02:47:00,"Santa Maria"
"FM179","365424",7540915,2015-09-29 13:10:00,"Ficus luschnathiana","AMf713","SDSma62",115.06954418959,"365428","7540800",2015-09-30 07:14:21,1084,1500,"Sep",18:04:00,"Santa Maria"
"FM180","365424",7540915,2015-09-29 13:10:00,"Ficus luschnathiana","AMf713","SDSma63",88.1419309976812,"365419","7540827",2015-09-30 07:24:15,1094,1000,"Sep",18:14:00,"Santa Maria"
"FM180","365348",7541622,2015-09-29 09:05:30,"Cereus hildmannianus","AMf725","SDSma64",798.164143519364,"365419","7540827",2015-09-30 07:24:15,1339,100,"Sep",22:19:00,"Santa Maria"
"FM181","365486",7541417,2015-09-30 10:29:48,"Cereus hildmannianus","AMf733","SDSma65",267.649023910045,"365376","7541661",2015-09-30 13:18:19,169,400,"Sep",02:49:00,"Santa Maria"
"FM182","365486",7541417,2015-09-30 10:29:48,"Cereus hildmannianus","AMf733","SDSma66",266.326866838477,"365377","7541660",2015-09-30 13:59:59,210,400,"Sep",03:30:00,"Santa Maria"
"FM183","365486",7541417,2015-09-30 10:29:48,"Cereus hildmannianus","AMf733","SDSma67",117.660528640662,"365424","7541517",2015-09-30 15:21:49,292,250,"Sep",04:52:00,"Santa Maria"
"FM184","365486",7541417,2015-09-30 10:29:48,"Cereus hildmannianus","AMf733","SDSma68",342.071629925663,"365144","7541424",2015-09-30 15:38:25,309,225,"Sep",05:09:00,"Santa Maria"
"FM184","365424",7540915,2015-09-30 08:00:00,"Ficus luschnathiana","AMf713","SDSma69",580.931149104608,"365144","7541424",2015-09-30 15:38:25,458,25,"Sep",07:38:00,"Santa Maria"
